name,IGSN,Fo #,peak,Celsius,GPa ,fO2Buffer,fO2_log10bars,Experiment,orientation,hours,mechanism,log10D,log10Derror,maximum_val,log10D_estimated,residual_on_estimate
SC1-7,IEFERJAI9,87.7,total H,1000,1,Ni-NiO,-10.3,hydration,a,7,total,-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,total H,1000,1,Ni-NiO,-10.3,hydration,b,7,total,-11.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,total H,1000,1,Ni-NiO,-10.3,hydration,c,7,total,-11.4,,FALSE,,
SC1-7,IEFERJAI9,87.7,3236,1000,1,Ni-NiO,-10.3,hydration,a,7,[Mg],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3236,1000,1,Ni-NiO,-10.3,hydration,b,7,[Mg],-11.4,,FALSE,,
SC1-7,IEFERJAI9,87.7,3236,1000,1,Ni-NiO,-10.3,hydration,c,7,[Mg],-11.4,,FALSE,,
SC1-7,IEFERJAI9,87.7,3356,1000,1,Ni-NiO,-10.3,hydration,a,7,[tri],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3356,1000,1,Ni-NiO,-10.3,hydration,b,7,[tri],-11.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3356,1000,1,Ni-NiO,-10.3,hydration,c,7,[tri],-11.4,,FALSE,,
SC1-7,IEFERJAI9,87.7,3525,1000,1,Ni-NiO,-10.3,hydration,a,7,[Ti],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3525,1000,1,Ni-NiO,-10.3,hydration,b,7,[Ti],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3525,1000,1,Ni-NiO,-10.3,hydration,c,7,[Ti],-11.3,,FALSE,,
SC1-7,IEFERJAI9,87.7,3600,1000,1,Ni-NiO,-10.3,hydration,a,7,[Si],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3600,1000,1,Ni-NiO,-10.3,hydration,b,7,[Si],-12.9,,FALSE,,
SC1-7,IEFERJAI9,87.7,3600,1000,1,Ni-NiO,-10.3,hydration,c,7,[Si],-11.3,,FALSE,,
,,,,,,,,,,,,,,,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,a,17.4,total,-10.9,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,b,17.4,total,-12.6,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,c,17.4,total,-12.3,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,1,total,-10.9,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,1,total,-12.6,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,1,total,-12.2,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,3,total,-10.9,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,3,total,-12.6,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,3,total,-12.2,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,7,total,-11.2,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,7,total,-12.9,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,7,total,-12.5,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,13,total,-11.1,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,13,total,-12.8,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,13,total,-12.5,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,19,total,-11.2,0.2,FALSE,-11.4,0.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,19,total,-12.9,0.2,FALSE,-13.0,0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,19,total,-12.5,0.2,FALSE,-12.7,0.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,43,total,-11.5,0.3,FALSE,-11.5,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,43,total,-13.2,0.3,FALSE,-13.2,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,43,total,-12.8,0.3,FALSE,-12.8,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,68,total,-11.6,0.3,FALSE,-11.6,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,68,total,-13.2,0.3,FALSE,-13.3,0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,68,total,-12.9,0.3,FALSE,-12.9,0.0
,,,,,,,,,,,,,,,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,a,17.4,[Ti],-10.9,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,b,17.4,[Ti],-12.6,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,c,17.4,[Ti],-12.2,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,1,[Ti],-10.9,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,1,[Ti],-12.6,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,1,[Ti],-12.2,0.6,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,3,[Ti],-10.9,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,3,[Ti],-12.6,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,3,[Ti],-12.2,0.4,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,7,[Ti],-10.9,0.3,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,7,[Ti],-12.6,0.3,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,7,[Ti],-12.2,0.3,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,13,[Ti],-11,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,13,[Ti],-12.6,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,13,[Ti],-12.3,0.2,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,19,[Ti],-11.1,0.2,FALSE,-10.6,-0.5
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,19,[Ti],-12.7,0.2,FALSE,-12.3,-0.4
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,19,[Ti],-12.4,0.2,FALSE,-11.9,-0.5
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,43,[Ti],-11.3,0.2,FALSE,-10.6,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,43,[Ti],-13,0.2,FALSE,-12.3,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,43,[Ti],-12.6,0.2,FALSE,-11.9,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,68,[Ti],-11.5,0.2,FALSE,-11.0,-0.5
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,68,[Ti],-13.2,0.2,FALSE,-12.7,-0.5
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,68,[Ti],-12.8,0.2,FALSE,-12.3,-0.5
,,,,,,,,,,,,,,,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,a,17.4,[Si],-10.9,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,b,17.4,[Si],-12.6,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO,-13.9,hydration,c,17.4,[Si],-12.2,,FALSE,,
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,1,[Si],-11.6,1,TRUE,-10.9,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,1,[Si],-13.2,1,TRUE,-12.6,-0.6
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,1,[Si],-12.9,1,TRUE,-12.2,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,3,[Si],-11.9,1,TRUE,-10.9,-1.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,3,[Si],-13.5,1,TRUE,-12.6,-0.9
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,3,[Si],-13.2,1,TRUE,-12.2,-1.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,7,[Si],-12.4,1,TRUE,-13.5,1.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,7,[Si],-13.9,1,TRUE,-15.2,1.3
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,7,[Si],-13.6,1,TRUE,-14.8,1.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,13,[Si],-12.4,1,TRUE,-11.2,-1.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,13,[Si],-13.9,1,TRUE,-13.2,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,13,[Si],-13.6,1,TRUE,-12.9,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,19,[Si],-12.6,0.8,FALSE,-11.3,-1.3
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,19,[Si],-14,0.8,FALSE,-13.3,-0.7
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,19,[Si],-13.7,0.8,FALSE,-12.6,-1.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,43,[Si],-12,0.6,FALSE,-11.9,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,43,[Si],-13.6,0.6,FALSE,-13.6,0.0
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,43,[Si],-13.3,0.6,FALSE,-13.2,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,a,68,[Si],-11.8,0.4,FALSE,-11.7,-0.1
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,b,68,[Si],-13.4,0.4,FALSE,-13.2,-0.2
SC1-2,IEFERJAI4,87.7,total H,800,0.0001,Ni-NiO-2.6,-16.5,dehydration,c,68,[Si],-13.1,0.4,FALSE,-13.0,-0.1
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,total,-12.6,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,total,-14,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,total,-13.7,1,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,total,-12.6,0.6,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,total,-14,0.6,,,
Kiki,IEFERJAIC,86.2,total H,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,total,-13.7,0.6,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,total,-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,total,-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,total,-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,total,-10.9,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,total,-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,total H,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,total,-11.9,0.4,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[Si],,,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[Si],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[Si],-10.7,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[Si],-12,0.3,,,
Kiki,IEFERJAIC,86.2,3600,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[Si],-11.9,0.3,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[Ti],-12.6,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[Ti],-14,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[Ti],-13.7,1,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[Ti],-12.6,0.6,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[Ti],-14,0.6,,,
Kiki,IEFERJAIC,86.2,3525,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[Ti],-13.7,0.6,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[Ti],-11,0.4,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[Ti],-12.2,0.4,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[Ti],-11.9,0.4,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[Ti],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[Ti],-11.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[Ti],-10.9,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[Ti],-12.2,0.3,,,
Kiki,IEFERJAIC,86.2,3525,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[Ti],-11.9,0.3,,,
,,,,,,,,,,,,,,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,1,[tri],-11.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,1,[tri],-11.6,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,1,[tri],-11,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,a,8,[tri],-12.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,b,8,[tri],-12.2,0.6,,,
Kiki,IEFERJAIC,86.2,3356,800,0.0001,Ni-NiO-2.6,-16.75,dehydration,c,8,[tri],-12.5,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,3,[tri],-11.3,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,3,[tri],-12.3,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,3,[tri],-11.2,0.5,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,6,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,6,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,6,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,a,7,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,b,7,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO-2.6,-13.1,dehydration,c,7,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,a,8,[tri],-11.8,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,b,8,[tri],-12,0.6,,,
Kiki,IEFERJAIC,86.2,3356,1000,0.0001,Ni-NiO+1.9,-8.4,dehydration,c,8,[tri],-11.8,0.6,,,
